,subject,cond_train,cond_test,pipeline,test_single_trial_accuracy
0,PA1,free,free,tLDA,0.2
1,PA1,free,overt,tLDA,0.4
2,PA1,free,covert,tLDA,0.2
3,PA1,overt,free,tLDA,0.4
4,PA1,overt,overt,tLDA,0.1
5,PA1,overt,covert,tLDA,0.2
6,PA1,covert,free,tLDA,0.2
7,PA1,covert,overt,tLDA,0.1
8,PA1,covert,covert,tLDA,0.3
9,PA1,free,free,tLDA,0.4
10,PA1,free,overt,tLDA,0.5
11,PA1,free,covert,tLDA,0.2
12,PA1,overt,free,tLDA,0.3
13,PA1,overt,overt,tLDA,0.3
14,PA1,overt,covert,tLDA,0.1
15,PA1,covert,free,tLDA,0.1
16,PA1,covert,overt,tLDA,0.4
17,PA1,covert,covert,tLDA,0.4
18,PA1,free,free,tLDA,0.4
19,PA1,free,overt,tLDA,0.2
20,PA1,free,covert,tLDA,0.2
21,PA1,overt,free,tLDA,0.4
22,PA1,overt,overt,tLDA,0.3
23,PA1,overt,covert,tLDA,0.3
24,PA1,covert,free,tLDA,0.3
25,PA1,covert,overt,tLDA,0.4
26,PA1,covert,covert,tLDA,0.2
27,PA1,free,free,tLDA,0.3
28,PA1,free,overt,tLDA,0.3
29,PA1,free,covert,tLDA,0.4
30,PA1,overt,free,tLDA,0.2
31,PA1,overt,overt,tLDA,0.5
32,PA1,overt,covert,tLDA,0.2
33,PA1,covert,free,tLDA,0.3
34,PA1,covert,overt,tLDA,0.1
35,PA1,covert,covert,tLDA,0.2
36,PA1,free,free,tLDA,0.6
37,PA1,free,overt,tLDA,0.4
38,PA1,free,covert,tLDA,0.3
39,PA1,overt,free,tLDA,0.3
40,PA1,overt,overt,tLDA,0.4
41,PA1,overt,covert,tLDA,0.2
42,PA1,covert,free,tLDA,0.1
43,PA1,covert,overt,tLDA,0.2
44,PA1,covert,covert,tLDA,0.1
45,PA1,free,free,tLDA,0.5
46,PA1,free,overt,tLDA,0.3
47,PA1,free,covert,tLDA,0.1
48,PA1,overt,free,tLDA,0.6
49,PA1,overt,overt,tLDA,0.4
50,PA1,overt,covert,tLDA,0.3
51,PA1,covert,free,tLDA,0.1
52,PA1,covert,overt,tLDA,0.2
53,PA1,covert,covert,tLDA,0.2
54,PB1,free,free,tLDA,0.8
55,PB1,free,overt,tLDA,0.8
56,PB1,free,covert,tLDA,0.5
57,PB1,overt,free,tLDA,0.6
58,PB1,overt,overt,tLDA,0.9
59,PB1,overt,covert,tLDA,0.5
60,PB1,covert,free,tLDA,0.5
61,PB1,covert,overt,tLDA,0.6
