,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
6,1.0976691246032715,0.08285284042358398,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7930672268907563,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
7,1.079662799835205,0.07220697402954102,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8014705882352942,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
8,1.1012845039367676,0.06615209579467773,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6247165532879818,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
9,1.0963466167449951,0.05546069145202637,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6633522727272727,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
10,1.2537989616394043,0.04236721992492676,0.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7557377049180328,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
11,1.2629578113555908,0.04159879684448242,0.3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6620689655172414,PA01,01,cvsa,,,ica,,,,,overt,WCBLE
24,0.9597165584564209,0.05078125,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5122767857142857,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
25,0.9684250354766846,0.05930328369140625,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6221590909090908,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
26,0.5971026420593262,0.06220889091491699,0.2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5440476190476191,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
27,0.7811827659606934,0.058356285095214844,0.3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.725,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
28,0.9670343399047852,0.05881834030151367,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.530791788856305,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
29,0.7999985218048096,0.051900625228881836,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5750605326876513,PA01,01,cvsa,,,ica,,,,,covert,WCBLE
42,0.5794026851654053,0.07121419906616211,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6485714285714286,PA01,01,cvsa,,,ica,,,,,free,WCBLE
43,0.5938336849212646,0.07697725296020508,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5989010989010989,PA01,01,cvsa,,,ica,,,,,free,WCBLE
44,0.6047601699829102,0.06830716133117676,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6910466582597731,PA01,01,cvsa,,,ica,,,,,free,WCBLE
