,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
12,0.38597607612609863,0.11158585548400879,0.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6901260504201681,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
13,0.35321950912475586,0.1009066104888916,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8259803921568627,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
14,0.3657350540161133,0.0993337631225586,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5861678004535148,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
15,0.39600539207458496,0.10224008560180664,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6477272727272727,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
16,0.37729907035827637,0.11835527420043945,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7885245901639344,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
17,0.3901548385620117,0.11454963684082031,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6137931034482759,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
30,0.4009270668029785,0.0925283432006836,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6261160714285714,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
31,0.4104282855987549,0.09072709083557129,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6690340909090908,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
32,0.4517192840576172,0.09337210655212402,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6035714285714285,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
33,0.41909360885620117,0.10427641868591309,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7515624999999999,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
34,0.41855621337890625,0.10370159149169922,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564516129032258,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
35,0.4374663829803467,0.09767413139343262,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6440677966101694,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
48,0.3675210475921631,0.09883880615234375,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6428571428571429,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
49,0.37573695182800293,0.09363269805908203,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6802197802197801,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
50,0.3876841068267822,0.10858416557312012,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7023959646910467,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
51,0.4018521308898926,0.10131573677062988,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5484375,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
52,0.409771203994751,0.09246063232421875,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.635,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
