,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
0,0.17708301544189453,0.04756903648376465,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.805672268907563,PA01,01,cvsa,,,ica,,,,,overt,tLDA
1,0.1798696517944336,0.04527616500854492,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7120098039215685,PA01,01,cvsa,,,ica,,,,,overt,tLDA
2,0.1795492172241211,0.04488015174865723,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5759637188208617,PA01,01,cvsa,,,ica,,,,,overt,tLDA
3,0.18359851837158203,0.0422210693359375,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5980113636363636,PA01,01,cvsa,,,ica,,,,,overt,tLDA
4,0.18561434745788574,0.040169477462768555,0.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.680327868852459,PA01,01,cvsa,,,ica,,,,,overt,tLDA
5,0.1873457431793213,0.04006624221801758,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6655172413793105,PA01,01,cvsa,,,ica,,,,,overt,tLDA
18,0.22561144828796387,0.04124093055725098,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145089285714286,PA01,01,cvsa,,,ica,,,,,covert,tLDA
19,0.21040081977844238,0.04285311698913574,0.3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6534090909090909,PA01,01,cvsa,,,ica,,,,,covert,tLDA
20,0.20947980880737305,0.04381752014160156,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6023809523809524,PA01,01,cvsa,,,ica,,,,,covert,tLDA
21,0.22222280502319336,0.041266679763793945,0.4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7000000000000001,PA01,01,cvsa,,,ica,,,,,covert,tLDA
22,0.2094130516052246,0.04112553596496582,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46480938416422285,PA01,01,cvsa,,,ica,,,,,covert,tLDA
23,0.22081351280212402,0.03963661193847656,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5605326876513317,PA01,01,cvsa,,,ica,,,,,covert,tLDA
36,0.17969727516174316,0.04620647430419922,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6980952380952381,PA01,01,cvsa,,,ica,,,,,free,tLDA
37,0.18557143211364746,0.04405474662780762,0.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.578021978021978,PA01,01,cvsa,,,ica,,,,,free,tLDA
38,0.18099737167358398,0.044307708740234375,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7364438839848676,PA01,01,cvsa,,,ica,,,,,free,tLDA
39,0.17940092086791992,0.043588876724243164,0.3,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7109375,PA01,01,cvsa,,,ica,,,,,free,tLDA
40,0.17876768112182617,0.0407099723815918,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7566666666666666,PA01,01,cvsa,,,ica,,,,,free,tLDA
41,0.17848730087280273,0.040303707122802734,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6267857142857143,PA01,01,cvsa,,,ica,,,,,free,tLDA
54,0.28673648834228516,0.0788106918334961,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9527310924369747,PB01,01,cvsa,,,ica,,,,,overt,tLDA
55,0.22026872634887695,0.05897855758666992,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9387978142076503,PB01,01,cvsa,,,ica,,,,,overt,tLDA
56,0.2960052490234375,0.09060144424438477,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9530791788856305,PB01,01,cvsa,,,ica,,,,,overt,tLDA
57,0.29584717750549316,0.09255456924438477,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9359605911330049,PB01,01,cvsa,,,ica,,,,,overt,tLDA
58,0.21227693557739258,0.06079888343811035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9269882659713168,PB01,01,cvsa,,,ica,,,,,overt,tLDA
