,condition,pipeline,subject_index,test_single_trial_accuracy
0,covert,WCBLE,0,21.666666666666668
1,covert,WCBLE,1,35.0
2,covert,WCBLE,2,35.0
3,covert,WCBLE,3,10.000000000000002
4,covert,WCBLE,4,23.333333333333332
5,covert,WCBLE,5,15.0
6,covert,WCBLE,6,30.0
7,covert,XDAWNCov+TS+LDA,0,35.0
8,covert,XDAWNCov+TS+LDA,1,33.33333333333333
9,covert,XDAWNCov+TS+LDA,2,31.666666666666664
10,covert,XDAWNCov+TS+LDA,3,18.333333333333336
11,covert,XDAWNCov+TS+LDA,4,18.333333333333336
12,covert,XDAWNCov+TS+LDA,5,10.000000000000002
13,covert,XDAWNCov+TS+LDA,6,25.0
14,covert,tLDA,0,23.333333333333336
15,covert,tLDA,1,33.33333333333333
16,covert,tLDA,2,30.0
17,covert,tLDA,3,15.0
18,covert,tLDA,4,21.666666666666668
19,covert,tLDA,5,15.0
20,covert,tLDA,6,31.66666666666667
21,free,WCBLE,0,25.0
22,free,WCBLE,1,71.66666666666667
23,free,WCBLE,2,50.0
24,free,WCBLE,3,68.33333333333334
25,free,WCBLE,4,28.33333333333334
26,free,WCBLE,5,21.666666666666668
27,free,WCBLE,6,13.333333333333334
28,free,XDAWNCov+TS+LDA,0,31.666666666666664
29,free,XDAWNCov+TS+LDA,1,58.333333333333336
30,free,XDAWNCov+TS+LDA,2,33.33333333333333
31,free,XDAWNCov+TS+LDA,3,58.333333333333336
32,free,XDAWNCov+TS+LDA,4,35.0
33,free,XDAWNCov+TS+LDA,5,21.666666666666668
34,free,XDAWNCov+TS+LDA,6,26.666666666666668
35,free,tLDA,0,40.0
36,free,tLDA,1,81.66666666666667
37,free,tLDA,2,54.99999999999999
38,free,tLDA,3,56.666666666666664
39,free,tLDA,4,31.666666666666664
40,free,tLDA,5,21.666666666666668
41,free,tLDA,6,15.0
42,overt,WCBLE,0,41.66666666666667
43,overt,WCBLE,1,83.33333333333334
44,overt,WCBLE,2,65.0
45,overt,WCBLE,3,51.66666666666667
46,overt,WCBLE,4,53.333333333333336
47,overt,WCBLE,5,28.333333333333332
48,overt,WCBLE,6,38.33333333333333
49,overt,XDAWNCov+TS+LDA,0,35.0
50,overt,XDAWNCov+TS+LDA,1,70.0
51,overt,XDAWNCov+TS+LDA,2,43.333333333333336
52,overt,XDAWNCov+TS+LDA,3,51.66666666666667
53,overt,XDAWNCov+TS+LDA,4,43.333333333333336
54,overt,XDAWNCov+TS+LDA,5,26.666666666666668
55,overt,XDAWNCov+TS+LDA,6,21.666666666666668
56,overt,tLDA,0,33.33333333333333
57,overt,tLDA,1,86.66666666666667
58,overt,tLDA,2,66.66666666666666
59,overt,tLDA,3,56.666666666666664
60,overt,tLDA,4,48.333333333333336
61,overt,tLDA,5,28.33333333333334
62,overt,tLDA,6,28.33333333333334
