,subject,session,task,acquisition,run,processing,space,recording,split,description,test_single_trial_accuracy,cond_train,cond_test,pipeline
0,PA01,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
1,PA01,01,cvsa,,,ica,,,,,0.4,free,overt,tLDA
2,PA01,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
3,PA01,01,cvsa,,,ica,,,,,0.4,overt,free,tLDA
4,PA01,01,cvsa,,,ica,,,,,0.1,overt,overt,tLDA
5,PA01,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
6,PA01,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
7,PA01,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
8,PA01,01,cvsa,,,ica,,,,,0.3,covert,covert,tLDA
9,PA01,01,cvsa,,,ica,,,,,0.4,free,free,tLDA
10,PA01,01,cvsa,,,ica,,,,,0.5,free,overt,tLDA
11,PA01,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
12,PA01,01,cvsa,,,ica,,,,,0.3,overt,free,tLDA
13,PA01,01,cvsa,,,ica,,,,,0.3,overt,overt,tLDA
14,PA01,01,cvsa,,,ica,,,,,0.1,overt,covert,tLDA
15,PA01,01,cvsa,,,ica,,,,,0.1,covert,free,tLDA
16,PA01,01,cvsa,,,ica,,,,,0.4,covert,overt,tLDA
17,PA01,01,cvsa,,,ica,,,,,0.4,covert,covert,tLDA
18,PA01,01,cvsa,,,ica,,,,,0.4,free,free,tLDA
19,PA01,01,cvsa,,,ica,,,,,0.2,free,overt,tLDA
20,PA01,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
21,PA01,01,cvsa,,,ica,,,,,0.4,overt,free,tLDA
22,PA01,01,cvsa,,,ica,,,,,0.3,overt,overt,tLDA
23,PA01,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
24,PA01,01,cvsa,,,ica,,,,,0.3,covert,free,tLDA
25,PA01,01,cvsa,,,ica,,,,,0.4,covert,overt,tLDA
26,PA01,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
27,PA01,01,cvsa,,,ica,,,,,0.3,free,free,tLDA
28,PA01,01,cvsa,,,ica,,,,,0.3,free,overt,tLDA
29,PA01,01,cvsa,,,ica,,,,,0.4,free,covert,tLDA
30,PA01,01,cvsa,,,ica,,,,,0.2,overt,free,tLDA
31,PA01,01,cvsa,,,ica,,,,,0.5,overt,overt,tLDA
32,PA01,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
33,PA01,01,cvsa,,,ica,,,,,0.3,covert,free,tLDA
34,PA01,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
35,PA01,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
36,PA01,01,cvsa,,,ica,,,,,0.6,free,free,tLDA
37,PA01,01,cvsa,,,ica,,,,,0.4,free,overt,tLDA
38,PA01,01,cvsa,,,ica,,,,,0.3,free,covert,tLDA
39,PA01,01,cvsa,,,ica,,,,,0.3,overt,free,tLDA
40,PA01,01,cvsa,,,ica,,,,,0.4,overt,overt,tLDA
